@relation './imbalanced dataset/cod-rna.libsvm-weka.filters.unsupervised.attribute.NumericToNominal-Rlast'

@attribute att_1 numeric
@attribute att_2 numeric
@attribute att_3 numeric
@attribute att_4 numeric
@attribute att_5 numeric
@attribute att_6 numeric
@attribute att_7 numeric
@attribute att_8 numeric
@attribute class {-1,1}

@data
{0 -808,1 118,2 0.211864,3 0.194915,4 0.29661,5 0.208333,6 0.225,7 0.266667,8 1}
{0 -768,1 118,2 0.211864,3 0.194915,4 0.29661,5 0.225,6 0.2,7 0.283333,8 1}
{0 -695,1 118,2 0.211864,3 0.194915,4 0.29661,5 0.275,6 0.283333,7 0.2,8 1}
{0 -883,1 118,2 0.211864,3 0.194915,4 0.29661,5 0.216667,6 0.183333,7 0.3,8 1}
{0 -769,1 118,2 0.211864,3 0.194915,4 0.29661,5 0.231405,6 0.239669,7 0.247934,8 1}
{0 -771,1 118,2 0.211864,3 0.194915,4 0.29661,5 0.225,6 0.233333,7 0.25,8 1}
{0 -787,1 118,2 0.211864,3 0.194915,4 0.29661,5 0.216667,6 0.225,7 0.266667,8 1}
{0 -838,1 118,2 0.211864,3 0.194915,4 0.29661,5 0.181818,6 0.22314,7 0.272727,8 1}
{0 -877,1 118,2 0.211864,3 0.194915,4 0.29661,5 0.2,6 0.2,7 0.283333,8 1}
{0 -808,1 118,2 0.211864,3 0.194915,4 0.29661,5 0.2,6 0.208333,7 0.283333,8 1}
{0 -750,1 118,2 0.211864,3 0.194915,4 0.29661,5 0.231405,6 0.214876,7 0.280992,8 1}
{0 -781,1 118,2 0.211864,3 0.194915,4 0.29661,5 0.216667,6 0.208333,7 0.275,8 1}
{0 -868,1 118,2 0.211864,3 0.194915,4 0.29661,5 0.180328,6 0.196721,7 0.278689,8 1}
{0 -781,1 118,2 0.211864,3 0.194915,4 0.29661,5 0.241667,6 0.216667,7 0.25,8 1}
{0 -806,1 118,2 0.211864,3 0.194915,4 0.29661,5 0.241667,6 0.208333,7 0.25,8 1}
{0 -781,1 118,2 0.211864,3 0.194915,4 0.29661,5 0.226891,6 0.218487,7 0.252101,8 1}
{0 -788,1 118,2 0.211864,3 0.194915,4 0.29661,5 0.177966,6 0.186441,7 0.305085,8 1}
{0 -659,1 118,2 0.211864,3 0.194915,4 0.29661,5 0.258333,6 0.191667,7 0.266667,8 1}
{0 -715,1 118,2 0.211864,3 0.194915,4 0.29661,5 0.275,6 0.233333,7 0.233333,8 1}
{0 -783,1 118,2 0.211864,3 0.194915,4 0.29661,5 0.228814,6 0.20339,7 0.271186,8 1}
{0 -709,1 118,2 0.211864,3 0.194915,4 0.29661,5 0.204918,6 0.204918,7 0.311475,8 1}
{0 -1048,1 118,2 0.211864,3 0.194915,4 0.29661,5 0.198413,6 0.166667,7 0.31746,8 1}
{0 -772,1 118,2 0.20339,3 0.194915,4 0.29661,5 0.254237,6 0.169492,7 0.29661,8 1}
{0 -809,1 118,2 0.20339,3 0.194915,4 0.29661,5 0.220339,6 0.194915,7 0.29661,8 1}
{0 -793,1 118,2 0.20339,3 0.194915,4 0.29661,5 0.194915,6 0.194915,7 0.29661,8 1}
{0 -780,1 118,2 0.20339,3 0.194915,4 0.29661,5 0.211864,6 0.20339,7 0.288136,8 1}
{0 -768,1 118,2 0.20339,3 0.194915,4 0.29661,5 0.201681,6 0.193277,7 0.294118,8 1}
{0 -829,1 118,2 0.20339,3 0.194915,4 0.29661,5 0.201681,6 0.201681,7 0.294118,8 1}
{0 -713,1 118,2 0.20339,3 0.194915,4 0.29661,5 0.271186,6 0.20339,7 0.271186,8 1}
{0 -672,1 118,2 0.20339,3 0.194915,4 0.29661,5 0.237288,6 0.20339,7 0.279661,8 1}
{0 -786,1 118,2 0.20339,3 0.194915,4 0.29661,5 0.226891,6 0.201681,7 0.277311,8 1}
{0 -843,1 118,2 0.20339,3 0.194915,4 0.29661,5 0.2,6 0.208333,7 0.291667,8 1}
{0 -799,1 118,2 0.20339,3 0.194915,4 0.29661,5 0.233333,6 0.208333,7 0.275,8 1}
{0 -708,1 118,2 0.20339,3 0.194915,4 0.29661,5 0.233333,6 0.25,7 0.241667,8 1}
{0 -697,1 118,2 0.20339,3 0.194915,4 0.29661,5 0.216667,6 0.233333,7 0.275,8 1}
{0 -734,1 118,2 0.20339,3 0.194915,4 0.29661,5 0.243697,6 0.226891,7 0.252101,8 1}
{0 -688,1 118,2 0.20339,3 0.194915,4 0.29661,5 0.258333,6 0.216667,7 0.241667,8 1}
{0 -819,1 118,2 0.20339,3 0.194915,4 0.29661,5 0.2,6 0.2,7 0.291667,8 1}
{0 -762,1 118,2 0.20339,3 0.194915,4 0.29661,5 0.225,6 0.225,7 0.275,8 1}
{0 -745,1 118,2 0.20339,3 0.194915,4 0.29661,5 0.2,6 0.233333,7 0.266667,8 1}
{0 -742,1 118,2 0.20339,3 0.194915,4 0.29661,5 0.233333,6 0.233333,7 0.266667,8 1}
{0 -712,1 118,2 0.20339,3 0.194915,4 0.29661,5 0.225,6 0.258333,7 0.233333,8 1}
{0 -831,1 118,2 0.20339,3 0.194915,4 0.29661,5 0.2,6 0.216667,7 0.275,8 1}
{0 -798,1 118,2 0.20339,3 0.194915,4 0.29661,5 0.2,6 0.208333,7 0.266667,8 1}
{0 -735,1 118,2 0.20339,3 0.194915,4 0.29661,5 0.216667,6 0.225,7 0.25,8 1}
{0 -725,1 118,2 0.20339,3 0.194915,4 0.29661,5 0.231405,6 0.231405,7 0.247934,8 1}
{0 -857,1 118,2 0.20339,3 0.194915,4 0.29661,5 0.198347,6 0.206612,7 0.280992,8 1}
{0 -785,1 118,2 0.20339,3 0.194915,4 0.29661,5 0.191667,6 0.2,7 0.291667,8 1}
{0 -853,1 118,2 0.20339,3 0.194915,4 0.29661,5 0.227642,6 0.146341,7 0.300813,8 1}
{0 -722,1 118,2 0.20339,3 0.194915,4 0.29661,5 0.258333,6 0.225,7 0.233333,8 1}
{0 -775,1 118,2 0.20339,3 0.194915,4 0.29661,5 0.233333,6 0.216667,7 0.25,8 1}
{0 -692,1 118,2 0.20339,3 0.194915,4 0.29661,5 0.211864,6 0.220339,7 0.271186,8 1}
{0 -821,1 118,2 0.20339,3 0.194915,4 0.29661,5 0.186441,6 0.177966,7 0.313559,8 1}
{0 -726,1 118,2 0.20339,3 0.194915,4 0.29661,5 0.220339,6 0.228814,7 0.262712,8 1}
{0 -828,1 118,2 0.20339,3 0.194915,4 0.29661,5 0.226891,6 0.218487,7 0.252101,8 1}
{0 -609,1 118,2 0.20339,3 0.194915,4 0.29661,5 0.266667,6 0.233333,7 0.258333,8 1}
{0 -706,1 118,2 0.20339,3 0.194915,4 0.29661,5 0.275,6 0.241667,7 0.225,8 1}
{0 -812,1 118,2 0.20339,3 0.194915,4 0.29661,5 0.193277,6 0.168067,7 0.310924,8 1}
{0 -996,1 118,2 0.20339,3 0.194915,4 0.29661,5 0.141732,6 0.141732,7 0.338583,8 1}
{0 -832,1 118,2 0.220339,3 0.20339,4 0.288136,5 0.245763,6 0.20339,7 0.254237,8 1}
{0 -824,1 118,2 0.220339,3 0.20339,4 0.288136,5 0.228814,6 0.194915,7 0.288136,8 1}
{0 -850,1 118,2 0.220339,3 0.20339,4 0.288136,5 0.220339,6 0.194915,7 0.288136,8 1}
{0 -832,1 118,2 0.220339,3 0.20339,4 0.288136,5 0.218487,6 0.176471,7 0.310924,8 1}
{0 -871,1 118,2 0.220339,3 0.20339,4 0.288136,5 0.218487,6 0.168067,7 0.294118,8 1}
{0 -789,1 118,2 0.220339,3 0.20339,4 0.288136,5 0.237288,6 0.228814,7 0.254237,8 1}
{0 -836,1 118,2 0.220339,3 0.20339,4 0.288136,5 0.228814,6 0.211864,7 0.262712,8 1}
{0 -765,1 118,2 0.220339,3 0.20339,4 0.288136,5 0.252101,6 0.243697,7 0.243697,8 1}
{0 -817,1 118,2 0.220339,3 0.20339,4 0.288136,5 0.225,6 0.216667,7 0.266667,8 1}
{0 -839,1 118,2 0.220339,3 0.20339,4 0.288136,5 0.191667,6 0.208333,7 0.291667,8 1}
{0 -751,1 118,2 0.220339,3 0.20339,4 0.288136,5 0.235294,6 0.252101,7 0.243697,8 1}
{0 -777,1 118,2 0.220339,3 0.20339,4 0.288136,5 0.198347,6 0.272727,7 0.22314,8 1}
{0 -734,1 118,2 0.220339,3 0.20339,4 0.288136,5 0.210084,6 0.210084,7 0.277311,8 1}
{0 -798,1 118,2 0.220339,3 0.20339,4 0.288136,5 0.243697,6 0.226891,7 0.252101,8 1}
{0 -801,1 118,2 0.220339,3 0.20339,4 0.288136,5 0.216667,6 0.225,7 0.266667,8 1}
{0 -779,1 118,2 0.220339,3 0.20339,4 0.288136,5 0.225,6 0.191667,7 0.291667,8 1}
{0 -810,1 118,2 0.220339,3 0.20339,4 0.288136,5 0.233333,6 0.233333,7 0.25,8 1}
{0 -782,1 118,2 0.220339,3 0.20339,4 0.288136,5 0.2,6 0.208333,7 0.283333,8 1}
{0 -717,1 118,2 0.220339,3 0.20339,4 0.288136,5 0.25,6 0.225,7 0.266667,8 1}
{0 -835,1 118,2 0.220339,3 0.20339,4 0.288136,5 0.2,6 0.225,7 0.266667,8 1}
{0 -863,1 118,2 0.220339,3 0.20339,4 0.288136,5 0.173554,6 0.231405,7 0.280992,8 1}
{0 -777,1 118,2 0.220339,3 0.20339,4 0.288136,5 0.2,6 0.225,7 0.266667,8 1}
{0 -750,1 118,2 0.220339,3 0.20339,4 0.288136,5 0.208333,6 0.216667,7 0.266667,8 1}
{0 -881,1 118,2 0.220339,3 0.20339,4 0.288136,5 0.208333,6 0.208333,7 0.266667,8 1}
{0 -806,1 118,2 0.220339,3 0.20339,4 0.288136,5 0.225,6 0.216667,7 0.275,8 1}
{0 -695,1 118,2 0.220339,3 0.20339,4 0.288136,5 0.239669,6 0.239669,7 0.239669,8 1}
{0 -800,1 118,2 0.220339,3 0.20339,4 0.288136,5 0.233333,6 0.2,7 0.266667,8 1}
{0 -764,1 118,2 0.220339,3 0.20339,4 0.288136,5 0.25,6 0.225,7 0.25,8 1}
{0 -851,1 118,2 0.220339,3 0.20339,4 0.288136,5 0.241667,6 0.208333,7 0.25,8 1}
{0 -844,1 118,2 0.220339,3 0.20339,4 0.288136,5 0.194915,6 0.186441,7 0.305085,8 1}
{0 -828,1 118,2 0.220339,3 0.20339,4 0.288136,5 0.20339,6 0.211864,7 0.271186,8 1}
{0 -832,1 118,2 0.220339,3 0.20339,4 0.288136,5 0.216667,6 0.225,7 0.258333,8 1}
{0 -849,1 118,2 0.220339,3 0.20339,4 0.288136,5 0.225,6 0.225,7 0.258333,8 1}
{0 -785,1 118,2 0.220339,3 0.20339,4 0.288136,5 0.275,6 0.216667,7 0.241667,8 1}
{0 -820,1 118,2 0.220339,3 0.20339,4 0.288136,5 0.193277,6 0.176471,7 0.302521,8 1}
{0 -1024,1 118,2 0.220339,3 0.20339,4 0.288136,5 0.169355,6 0.120968,7 0.346774,8 1}
{0 -782,1 118,2 0.254237,3 0.169492,4 0.29661,5 0.245763,6 0.20339,7 0.254237,8 1}
{0 -785,1 118,2 0.254237,3 0.169492,4 0.29661,5 0.228814,6 0.194915,7 0.288136,8 1}
{0 -800,1 118,2 0.254237,3 0.169492,4 0.29661,5 0.220339,6 0.194915,7 0.288136,8 1}
{0 -789,1 118,2 0.254237,3 0.169492,4 0.29661,5 0.218487,6 0.176471,7 0.310924,8 1}
{0 -831,1 118,2 0.254237,3 0.169492,4 0.29661,5 0.218487,6 0.168067,7 0.294118,8 1}
{0 -751,1 118,2 0.254237,3 0.169492,4 0.29661,5 0.237288,6 0.228814,7 0.254237,8 1}
{0 -794,1 118,2 0.254237,3 0.169492,4 0.29661,5 0.228814,6 0.211864,7 0.262712,8 1}
{0 -725,1 118,2 0.254237,3 0.169492,4 0.29661,5 0.252101,6 0.243697,7 0.243697,8 1}
{0 -787,1 118,2 0.254237,3 0.169492,4 0.29661,5 0.225,6 0.216667,7 0.266667,8 1}
{0 -814,1 118,2 0.254237,3 0.169492,4 0.29661,5 0.191667,6 0.208333,7 0.291667,8 1}
{0 -727,1 118,2 0.254237,3 0.169492,4 0.29661,5 0.235294,6 0.252101,7 0.243697,8 1}
{0 -748,1 118,2 0.254237,3 0.169492,4 0.29661,5 0.198347,6 0.272727,7 0.22314,8 1}
{0 -711,1 118,2 0.254237,3 0.169492,4 0.29661,5 0.210084,6 0.210084,7 0.277311,8 1}
{0 -769,1 118,2 0.254237,3 0.169492,4 0.29661,5 0.243697,6 0.226891,7 0.252101,8 1}
{0 -777,1 118,2 0.254237,3 0.169492,4 0.29661,5 0.216667,6 0.225,7 0.266667,8 1}
{0 -756,1 118,2 0.254237,3 0.169492,4 0.29661,5 0.225,6 0.191667,7 0.291667,8 1}
{0 -785,1 118,2 0.254237,3 0.169492,4 0.29661,5 0.233333,6 0.233333,7 0.25,8 1}
{0 -757,1 118,2 0.254237,3 0.169492,4 0.29661,5 0.2,6 0.208333,7 0.283333,8 1}
{0 -696,1 118,2 0.254237,3 0.169492,4 0.29661,5 0.25,6 0.225,7 0.266667,8 1}
{0 -811,1 118,2 0.254237,3 0.169492,4 0.29661,5 0.2,6 0.225,7 0.266667,8 1}
{0 -847,1 118,2 0.254237,3 0.169492,4 0.29661,5 0.173554,6 0.231405,7 0.280992,8 1}
{0 -746,1 118,2 0.254237,3 0.169492,4 0.29661,5 0.2,6 0.225,7 0.266667,8 1}
{0 -726,1 118,2 0.254237,3 0.169492,4 0.29661,5 0.208333,6 0.216667,7 0.266667,8 1}
{0 -857,1 118,2 0.254237,3 0.169492,4 0.29661,5 0.208333,6 0.208333,7 0.266667,8 1}
{0 -776,1 118,2 0.254237,3 0.169492,4 0.29661,5 0.225,6 0.216667,7 0.275,8 1}
{0 -671,1 118,2 0.254237,3 0.169492,4 0.29661,5 0.239669,6 0.239669,7 0.239669,8 1}
{0 -760,1 118,2 0.254237,3 0.169492,4 0.29661,5 0.233333,6 0.2,7 0.266667,8 1}
{0 -724,1 118,2 0.254237,3 0.169492,4 0.29661,5 0.25,6 0.225,7 0.25,8 1}
{0 -806,1 118,2 0.254237,3 0.169492,4 0.29661,5 0.241667,6 0.208333,7 0.25,8 1}
{0 -804,1 118,2 0.254237,3 0.169492,4 0.29661,5 0.194915,6 0.186441,7 0.305085,8 1}
{0 -778,1 118,2 0.254237,3 0.169492,4 0.29661,5 0.20339,6 0.211864,7 0.271186,8 1}
{0 -808,1 118,2 0.254237,3 0.169492,4 0.29661,5 0.216667,6 0.225,7 0.258333,8 1}
{0 -832,1 118,2 0.254237,3 0.169492,4 0.29661,5 0.225,6 0.225,7 0.258333,8 1}
{0 -745,1 118,2 0.254237,3 0.169492,4 0.29661,5 0.275,6 0.216667,7 0.241667,8 1}
{0 -788,1 118,2 0.254237,3 0.169492,4 0.29661,5 0.193277,6 0.176471,7 0.302521,8 1}
{0 -987,1 118,2 0.254237,3 0.169492,4 0.29661,5 0.169355,6 0.120968,7 0.346774,8 1}
{0 -832,1 118,2 0.20339,3 0.186441,4 0.305085,5 0.220339,6 0.194915,7 0.29661,8 1}
{0 -816,1 118,2 0.20339,3 0.186441,4 0.305085,5 0.194915,6 0.194915,7 0.29661,8 1}
{0 -803,1 118,2 0.20339,3 0.186441,4 0.305085,5 0.211864,6 0.20339,7 0.288136,8 1}
{0 -791,1 118,2 0.20339,3 0.186441,4 0.305085,5 0.201681,6 0.193277,7 0.294118,8 1}
{0 -852,1 118,2 0.20339,3 0.186441,4 0.305085,5 0.201681,6 0.201681,7 0.294118,8 1}
{0 -736,1 118,2 0.20339,3 0.186441,4 0.305085,5 0.271186,6 0.20339,7 0.271186,8 1}
{0 -695,1 118,2 0.20339,3 0.186441,4 0.305085,5 0.237288,6 0.20339,7 0.279661,8 1}
{0 -809,1 118,2 0.20339,3 0.186441,4 0.305085,5 0.226891,6 0.201681,7 0.277311,8 1}
{0 -866,1 118,2 0.20339,3 0.186441,4 0.305085,5 0.2,6 0.208333,7 0.291667,8 1}
{0 -822,1 118,2 0.20339,3 0.186441,4 0.305085,5 0.233333,6 0.208333,7 0.275,8 1}
{0 -731,1 118,2 0.20339,3 0.186441,4 0.305085,5 0.233333,6 0.25,7 0.241667,8 1}
{0 -720,1 118,2 0.20339,3 0.186441,4 0.305085,5 0.216667,6 0.233333,7 0.275,8 1}
{0 -757,1 118,2 0.20339,3 0.186441,4 0.305085,5 0.243697,6 0.226891,7 0.252101,8 1}
{0 -711,1 118,2 0.20339,3 0.186441,4 0.305085,5 0.258333,6 0.216667,7 0.241667,8 1}
{0 -842,1 118,2 0.20339,3 0.186441,4 0.305085,5 0.2,6 0.2,7 0.291667,8 1}
{0 -785,1 118,2 0.20339,3 0.186441,4 0.305085,5 0.225,6 0.225,7 0.275,8 1}
{0 -768,1 118,2 0.20339,3 0.186441,4 0.305085,5 0.2,6 0.233333,7 0.266667,8 1}
{0 -765,1 118,2 0.20339,3 0.186441,4 0.305085,5 0.233333,6 0.233333,7 0.266667,8 1}
{0 -735,1 118,2 0.20339,3 0.186441,4 0.305085,5 0.225,6 0.258333,7 0.233333,8 1}
{0 -854,1 118,2 0.20339,3 0.186441,4 0.305085,5 0.2,6 0.216667,7 0.275,8 1}
{0 -821,1 118,2 0.20339,3 0.186441,4 0.305085,5 0.2,6 0.208333,7 0.266667,8 1}
{0 -758,1 118,2 0.20339,3 0.186441,4 0.305085,5 0.216667,6 0.225,7 0.25,8 1}
{0 -748,1 118,2 0.20339,3 0.186441,4 0.305085,5 0.231405,6 0.231405,7 0.247934,8 1}
{0 -880,1 118,2 0.20339,3 0.186441,4 0.305085,5 0.198347,6 0.206612,7 0.280992,8 1}
{0 -808,1 118,2 0.20339,3 0.186441,4 0.305085,5 0.191667,6 0.2,7 0.291667,8 1}
{0 -876,1 118,2 0.20339,3 0.186441,4 0.305085,5 0.227642,6 0.146341,7 0.300813,8 1}
{0 -745,1 118,2 0.20339,3 0.186441,4 0.305085,5 0.258333,6 0.225,7 0.233333,8 1}
{0 -798,1 118,2 0.20339,3 0.186441,4 0.305085,5 0.233333,6 0.216667,7 0.25,8 1}
{0 -715,1 118,2 0.20339,3 0.186441,4 0.305085,5 0.211864,6 0.220339,7 0.271186,8 1}
{0 -844,1 118,2 0.20339,3 0.186441,4 0.305085,5 0.186441,6 0.177966,7 0.313559,8 1}
{0 -749,1 118,2 0.20339,3 0.186441,4 0.305085,5 0.220339,6 0.228814,7 0.262712,8 1}
{0 -851,1 118,2 0.20339,3 0.186441,4 0.305085,5 0.226891,6 0.218487,7 0.252101,8 1}
{0 -632,1 118,2 0.20339,3 0.186441,4 0.305085,5 0.266667,6 0.233333,7 0.258333,8 1}
{0 -729,1 118,2 0.20339,3 0.186441,4 0.305085,5 0.275,6 0.241667,7 0.225,8 1}
{0 -835,1 118,2 0.20339,3 0.186441,4 0.305085,5 0.193277,6 0.168067,7 0.310924,8 1}
{0 -1019,1 118,2 0.20339,3 0.186441,4 0.305085,5 0.141732,6 0.141732,7 0.338583,8 1}
{0 -771,1 118,2 0.228814,3 0.220339,4 0.262712,5 0.201681,6 0.193277,7 0.302521,8 1}
{0 -683,1 118,2 0.228814,3 0.220339,4 0.262712,5 0.201681,6 0.176471,7 0.302521,8 1}
{0 -695,1 118,2 0.228814,3 0.220339,4 0.262712,5 0.226891,6 0.176471,7 0.294118,8 1}
{0 -673,1 118,2 0.228814,3 0.220339,4 0.262712,5 0.218487,6 0.201681,7 0.277311,8 1}
{0 -742,1 118,2 0.228814,3 0.220339,4 0.262712,5 0.210084,6 0.176471,7 0.310924,8 1}
{0 -720,1 118,2 0.228814,3 0.220339,4 0.262712,5 0.196721,6 0.155738,7 0.336066,8 1}
{0 -721,1 118,2 0.228814,3 0.220339,4 0.262712,5 0.226891,6 0.210084,7 0.268908,8 1}
{0 -713,1 118,2 0.228814,3 0.220339,4 0.262712,5 0.210084,6 0.176471,7 0.302521,8 1}
{0 -759,1 118,2 0.228814,3 0.220339,4 0.262712,5 0.216667,6 0.216667,7 0.266667,8 1}
{0 -729,1 118,2 0.228814,3 0.220339,4 0.262712,5 0.206612,6 0.239669,7 0.264463,8 1}
{0 -730,1 118,2 0.228814,3 0.220339,4 0.262712,5 0.225,6 0.233333,7 0.258333,8 1}
{0 -709,1 118,2 0.228814,3 0.220339,4 0.262712,5 0.235294,6 0.201681,7 0.277311,8 1}
{0 -646,1 118,2 0.228814,3 0.220339,4 0.262712,5 0.243697,6 0.235294,7 0.243697,8 1}
{0 -745,1 118,2 0.228814,3 0.220339,4 0.262712,5 0.208333,6 0.225,7 0.266667,8 1}
{0 -700,1 118,2 0.228814,3 0.220339,4 0.262712,5 0.225,6 0.2,7 0.283333,8 1}
{0 -632,1 118,2 0.228814,3 0.220339,4 0.262712,5 0.275,6 0.283333,7 0.2,8 1}
{0 -815,1 118,2 0.228814,3 0.220339,4 0.262712,5 0.216667,6 0.183333,7 0.3,8 1}
{0 -706,1 118,2 0.228814,3 0.220339,4 0.262712,5 0.231405,6 0.239669,7 0.247934,8 1}
{0 -708,1 118,2 0.228814,3 0.220339,4 0.262712,5 0.225,6 0.233333,7 0.25,8 1}
{0 -724,1 118,2 0.228814,3 0.220339,4 0.262712,5 0.216667,6 0.225,7 0.266667,8 1}
{0 -775,1 118,2 0.228814,3 0.220339,4 0.262712,5 0.181818,6 0.22314,7 0.272727,8 1}
{0 -814,1 118,2 0.228814,3 0.220339,4 0.262712,5 0.2,6 0.2,7 0.283333,8 1}
{0 -745,1 118,2 0.228814,3 0.220339,4 0.262712,5 0.2,6 0.208333,7 0.283333,8 1}
{0 -690,1 118,2 0.228814,3 0.220339,4 0.262712,5 0.231405,6 0.214876,7 0.280992,8 1}
{0 -718,1 118,2 0.228814,3 0.220339,4 0.262712,5 0.216667,6 0.208333,7 0.275,8 1}
{0 -811,1 118,2 0.228814,3 0.220339,4 0.262712,5 0.180328,6 0.196721,7 0.278689,8 1}
{0 -716,1 118,2 0.228814,3 0.220339,4 0.262712,5 0.241667,6 0.216667,7 0.25,8 1}
{0 -741,1 118,2 0.228814,3 0.220339,4 0.262712,5 0.241667,6 0.208333,7 0.25,8 1}
{0 -721,1 118,2 0.228814,3 0.220339,4 0.262712,5 0.226891,6 0.218487,7 0.252101,8 1}
{0 -728,1 118,2 0.228814,3 0.220339,4 0.262712,5 0.177966,6 0.186441,7 0.305085,8 1}
{0 -619,1 118,2 0.228814,3 0.220339,4 0.262712,5 0.258333,6 0.191667,7 0.266667,8 1}
{0 -653,1 118,2 0.228814,3 0.220339,4 0.262712,5 0.275,6 0.233333,7 0.233333,8 1}
{0 -715,1 118,2 0.228814,3 0.220339,4 0.262712,5 0.228814,6 0.20339,7 0.271186,8 1}
{0 -649,1 118,2 0.228814,3 0.220339,4 0.262712,5 0.204918,6 0.204918,7 0.311475,8 1}
{0 -980,1 118,2 0.228814,3 0.220339,4 0.262712,5 0.198413,6 0.166667,7 0.31746,8 1}
{0 -773,1 118,2 0.220339,3 0.194915,4 0.279661,5 0.220339,6 0.194915,7 0.29661,8 1}
{0 -760,1 118,2 0.220339,3 0.194915,4 0.279661,5 0.194915,6 0.194915,7 0.29661,8 1}
{0 -747,1 118,2 0.220339,3 0.194915,4 0.279661,5 0.211864,6 0.20339,7 0.288136,8 1}
{0 -785,1 118,2 0.220339,3 0.194915,4 0.279661,5 0.201681,6 0.193277,7 0.294118,8 1}
{0 -796,1 118,2 0.220339,3 0.194915,4 0.279661,5 0.201681,6 0.201681,7 0.294118,8 1}
{0 -750,1 118,2 0.220339,3 0.194915,4 0.279661,5 0.271186,6 0.20339,7 0.271186,8 1}
{0 -706,1 118,2 0.220339,3 0.194915,4 0.279661,5 0.237288,6 0.20339,7 0.279661,8 1}
{0 -831,1 118,2 0.220339,3 0.194915,4 0.279661,5 0.226891,6 0.201681,7 0.277311,8 1}
{0 -844,1 118,2 0.220339,3 0.194915,4 0.279661,5 0.2,6 0.208333,7 0.291667,8 1}
{0 -795,1 118,2 0.220339,3 0.194915,4 0.279661,5 0.233333,6 0.208333,7 0.275,8 1}
{0 -722,1 118,2 0.220339,3 0.194915,4 0.279661,5 0.233333,6 0.25,7 0.241667,8 1}
{0 -690,1 118,2 0.220339,3 0.194915,4 0.279661,5 0.216667,6 0.233333,7 0.275,8 1}
{0 -730,1 118,2 0.220339,3 0.194915,4 0.279661,5 0.243697,6 0.226891,7 0.252101,8 1}
{0 -695,1 118,2 0.220339,3 0.194915,4 0.279661,5 0.258333,6 0.216667,7 0.241667,8 1}
{0 -813,1 118,2 0.220339,3 0.194915,4 0.279661,5 0.2,6 0.2,7 0.291667,8 1}
{0 -758,1 118,2 0.220339,3 0.194915,4 0.279661,5 0.225,6 0.225,7 0.275,8 1}
{0 -751,1 118,2 0.220339,3 0.194915,4 0.279661,5 0.2,6 0.233333,7 0.266667,8 1}
{0 -738,1 118,2 0.220339,3 0.194915,4 0.279661,5 0.233333,6 0.233333,7 0.266667,8 1}
{0 -723,1 118,2 0.220339,3 0.194915,4 0.279661,5 0.225,6 0.258333,7 0.233333,8 1}
{0 -829,1 118,2 0.220339,3 0.194915,4 0.279661,5 0.2,6 0.216667,7 0.275,8 1}
{0 -804,1 118,2 0.220339,3 0.194915,4 0.279661,5 0.2,6 0.208333,7 0.266667,8 1}
{0 -731,1 118,2 0.220339,3 0.194915,4 0.279661,5 0.216667,6 0.225,7 0.25,8 1}
{0 -741,1 118,2 0.220339,3 0.194915,4 0.279661,5 0.231405,6 0.231405,7 0.247934,8 1}
{0 -855,1 118,2 0.220339,3 0.194915,4 0.279661,5 0.198347,6 0.206612,7 0.280992,8 1}
{0 -787,1 118,2 0.220339,3 0.194915,4 0.279661,5 0.191667,6 0.2,7 0.291667,8 1}
{0 -875,1 118,2 0.220339,3 0.194915,4 0.279661,5 0.227642,6 0.146341,7 0.300813,8 1}
{0 -760,1 118,2 0.220339,3 0.194915,4 0.279661,5 0.258333,6 0.225,7 0.233333,8 1}
{0 -807,1 118,2 0.220339,3 0.194915,4 0.279661,5 0.233333,6 0.216667,7 0.25,8 1}
{0 -717,1 118,2 0.220339,3 0.194915,4 0.279661,5 0.211864,6 0.220339,7 0.271186,8 1}
{0 -837,1 118,2 0.220339,3 0.194915,4 0.279661,5 0.186441,6 0.177966,7 0.313559,8 1}
{0 -773,1 118,2 0.220339,3 0.194915,4 0.279661,5 0.220339,6 0.228814,7 0.262712,8 1}
{0 -835,1 118,2 0.220339,3 0.194915,4 0.279661,5 0.226891,6 0.218487,7 0.252101,8 1}
{0 -639,1 118,2 0.220339,3 0.194915,4 0.279661,5 0.266667,6 0.233333,7 0.258333,8 1}
{0 -736,1 118,2 0.220339,3 0.194915,4 0.279661,5 0.275,6 0.241667,7 0.225,8 1}
{0 -823,1 118,2 0.220339,3 0.194915,4 0.279661,5 0.193277,6 0.168067,7 0.310924,8 1}
{0 -992,1 118,2 0.220339,3 0.194915,4 0.279661,5 0.141732,6 0.141732,7 0.338583,8 1}
{0 -792,1 118,2 0.245763,3 0.20339,4 0.254237,5 0.228814,6 0.194915,7 0.288136,8 1}
{0 -818,1 118,2 0.245763,3 0.20339,4 0.254237,5 0.220339,6 0.194915,7 0.288136,8 1}
{0 -800,1 118,2 0.245763,3 0.20339,4 0.254237,5 0.218487,6 0.176471,7 0.310924,8 1}
{0 -839,1 118,2 0.245763,3 0.20339,4 0.254237,5 0.218487,6 0.168067,7 0.294118,8 1}
{0 -756,1 118,2 0.245763,3 0.20339,4 0.254237,5 0.237288,6 0.228814,7 0.254237,8 1}
{0 -804,1 118,2 0.245763,3 0.20339,4 0.254237,5 0.228814,6 0.211864,7 0.262712,8 1}
{0 -733,1 118,2 0.245763,3 0.20339,4 0.254237,5 0.252101,6 0.243697,7 0.243697,8 1}
